越南频道,#genre#
HTVC Phim,http://14.255.66.32:8989/rtp/232.84.3.118:9594
Thuần Việt HD (HD 5Mbps),http://14.255.66.32:8989/rtp/232.84.2.134:9600
HTV1,http://14.255.66.32:8989/rtp/232.84.1.35:8184
HTV2 Vie Channel,http://14.255.66.32:8989/rtp/232.84.1.36:8190
HTV3 Dreams TV,http://14.255.66.32:8989/rtp/232.84.1.104:8598
HTV Keys,http://14.255.66.32:8989/rtp/232.84.1.25:8124
HTV7,http://14.255.66.32:8989/rtp/232.84.1.21:8100
HTV9,http://14.255.66.32:8989/rtp/232.84.1.31:8160
HTV THỂ THAO,http://14.255.66.32:8989/rtp/232.84.1.24:8118
HTVC Ca Nhạc,http://14.255.66.32:8989/rtp/232.84.1.126:8730
HTVC Du Lịch và Cuộc Sống,http://14.255.66.32:8989/rtp/232.84.1.221:9300
HTVC Gia Đình,http://14.255.66.32:8989/rtp/232.84.1.170:8994
HTVC Phim,http://14.255.66.32:8989/rtp/232.84.1.105:8604
HTVC Phụ Nữ,http://14.255.66.32:8989/rtp/232.84.1.127:8736
HTVC Thuần Việt,http://14.255.66.32:8989/rtp/232.84.1.22:8106
Nhân Dân TV,http://14.255.66.32:8989/rtp/232.84.3.124:10822
QUỐC HỘI,http://14.255.66.32:8989/rtp/232.84.1.234:10290
QUỐC HỘI,http://14.255.66.32:8989/rtp/232.84.2.181:10290
QPVN,http://14.255.66.32:8989/rtp/232.84.3.127:10816
VNEWS,http://14.255.66.32:8989/rtp/232.84.3.125:10434
ANTV,http://14.255.66.32:8989/rtp/232.84.1.212:9246
QPVN,http://14.255.66.32:8989/rtp/232.84.1.228:9342
VNEWS,http://14.255.66.32:8989/rtp/232.84.1.52:8292
MTV,http://14.255.66.32:8989/rtp/232.84.2.171:10834
MTV,http://14.255.66.32:8989/rtp/232.84.3.107:10834
HiTV,http://14.255.66.32:8989/rtp/232.84.1.55:8310
MTV,http://14.255.66.32:8989/rtp/232.84.1.82:8466
SCTV8 VITV,http://14.255.66.32:8989/rtp/232.84.1.32:8166
TN1 HD _ TH Thái Nguyên,http://14.255.66.32:8989/rtp/232.84.3.146:10774
PTV HD _ TH Phú Thọ,http://14.255.66.32:8989/rtp/232.84.3.148:10792
CRTV HD _ TH Cao Bằng,http://14.255.66.32:8989/rtp/232.84.3.202:11134
LSTV HD _ TH Lạng Sơn,http://14.255.66.32:8989/rtp/232.84.3.203:11140
QTV1 HD _ TH Quảng Ninh,http://14.255.66.32:8989/rtp/232.84.1.248:10978
QTV3 HD _ TH Quảng Ninh,http://14.255.66.32:8989/rtp/232.84.1.249:10984
BTV _ TH Bắc Ninh,http://14.255.66.32:8989/rtp/232.84.2.245:10506
H1 HD _ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.3.143:10738
H2 HD_ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.3.137:10744
THP HD _ TH TP. Hải Phòng,http://14.255.66.32:8989/rtp/232.84.3.142:10780
HY HD _ TH Hưng Yên,http://14.255.66.32:8989/rtp/232.84.3.110:10786
TTV HD _ TH Thanh Hóa,http://14.255.66.32:8989/rtp/232.84.3.198:11110
NTV HD _ TH Nghệ An,http://14.255.66.32:8989/rtp/232.84.2.198:10972
HTTV HD _ TH Hà Tĩnh,http://14.255.66.32:8989/rtp/232.84.3.134:10768
PTQ _ TH Quảng Ngãi,http://14.255.66.32:8989/rtp/232.84.3.126:10798
BTV1 HD _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.3.109:10750
BTV4 HD _ TH Bình Dương,http://14.255.66.32:8989/rtp/232.84.2.156:10756
BTV9 An Viên HD,http://14.255.66.32:8989/rtp/232.84.3.199:11116
ĐNRTV1 HD _ TH Đồng Nai,http://14.255.66.32:8989/rtp/232.84.3.112:10762
THTG HD _ TH Tiền Giang,http://14.255.66.32:8989/rtp/232.84.3.204:11146
THVL1 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.2.183:10882
THVL2 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.2.184:10888
THVL1 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.152:10882
THVL2 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.164:10888
THVL3 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.165:10900
THVL4 HD _ TH Vĩnh Long,http://14.255.66.32:8989/rtp/232.84.3.160:10912
KG _ TH Kiên Giang (HD 4Mbps),http://14.255.66.32:8989/rtp/232.84.3.161:10918
THLC _ TH Lào Cai,http://14.255.66.32:8989/rtp/232.84.2.93:8718
YTV _ TH Yên Bái,http://14.255.66.32:8989/rtp/232.84.2.75:9162
ĐTV _ TH Điện Biên,http://14.255.66.32:8989/rtp/232.84.3.116:8880
HBTV _ TH Hòa Bình,http://14.255.66.32:8989/rtp/232.84.3.130:8946
LTV _ TH Lai Châu,http://14.255.66.32:8989/rtp/232.84.3.133:9174
STV _ TH Sơn La,http://14.255.66.32:8989/rtp/232.84.1.184:9078
HGTV _ TH Hà Giang,http://14.255.66.32:8989/rtp/232.84.2.85:8910
CRTV _ TH Cao Bằng,http://14.255.66.32:8989/rtp/232.84.2.109:8844
TBK _ TH Bắc Kạn,http://14.255.66.32:8989/rtp/232.84.2.92:8760
LSTV _ TH Lạng Sơn,http://14.255.66.32:8989/rtp/232.84.2.107:8646
TTV _ TH Tuyên Quang,http://14.255.66.32:8989/rtp/232.84.2.91:9138
TN1 _ TH Thái Nguyên,http://14.255.66.32:8989/rtp/232.84.2.87:9096
TN2 _ TH Thái Nguyên,http://14.255.66.32:8989/rtp/232.84.3.123:9168
PTV _ TH Phú Thọ,http://14.255.66.32:8989/rtp/232.84.2.95:9030
BGTV _ TH Bắc Giang,http://14.255.66.32:8989/rtp/232.84.2.89:8754
QTV1 _ TH Quảng Ninh,http://14.255.66.32:8989/rtp/232.84.3.105:9060
BTV _ TH Bắc Ninh,http://14.255.66.32:8989/rtp/232.84.1.133:8772
THHN _ TH Hà Nam,http://14.255.66.32:8989/rtp/232.84.2.82:8916
H1 _ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.1.29:8148
H2 _ TH Hà Nội,http://14.255.66.32:8989/rtp/232.84.1.23:8112
THD _ TH Hải Dương,http://14.255.66.32:8989/rtp/232.84.2.79:8928
THD _ TH Hải Dương,http://14.255.66.32:8989/rtp/232.84.3.113:8928
THP _ TH TP. Hải Phòng,http://14.255.66.32:8989/rtp/232.84.2.104:8934
HY _ TH Hưng Yên,http://14.255.66.32:8989/rtp/232.84.2.84:8952
NTV _ TH Nam Định,http://14.255.66.32:8989/rtp/232.84.3.119:9006
NTV _ TH Ninh Bình,http://14.255.66.32:8989/rtp/232.84.2.80:9018
TBTV _ TH Thái Bình,http://14.255.66.32:8989/rtp/232.84.2.100:9090
VP _ TH Vĩnh Phúc,http://14.255.66.32:8989/rtp/232.84.2.83:9156
TTV _ TH Thanh Hóa,http://14.255.66.32:8989/rtp/232.84.2.111:9102
NTV _ TH Nghệ An,http://14.255.66.32:8989/rtp/232.84.2.101:9012
HTTV _ TH Hà Tĩnh,http://14.255.66.32:8989/rtp/232.84.2.96:8922
QBTV _ TH Quảng Bình,http://14.255.66.32:8989/rtp/232.84.2.98:9042
QRTV _ TH Quảng Trị,http://14.255.66.32:8989/rtp/232.84.2.105:9066
TRT _ TH Thừa Thiên Huế,http://14.255.66.32:8989/rtp/232.84.2.106:9120
DaNangTV1 _ TH TP. Đà Nẵng,http://14.255.66.32:8989/rtp/232.84.1.146:8850
DaNangTV2 _ TH TP. Đà Nẵng,http://14.255.66.32:8989/rtp/232.84.3.122:8856
QRT _ TH Quảng Nam,http://14.255.66.32:8989/rtp/232.84.2.81:9048
PTQ _ TH Quảng Ngãi,http://14.255.66.32:8989/rtp/232.84.2.108:9054
BTV _ TH Bình Định,http://14.255.66.32:8989/rtp/232.84.2.88:8784
PTP _ TH Phú Yên,http://14.255.66.32:8989/rtp/232.84.3.108:10362
KTV _ TH Khánh Hòa,http://14.255.66.32:8989/rtp/232.84.2.99:8958
NTV _ TH Ninh Thuận,http://14.255.66.32:8989/rtp/232.84.2.74:9024
BTV _ TH Bình Thuận,http://14.255.66.32:8989/rtp
韩国🇰🇷,#genre#

tvN THE K2,https://d32khooduen8y3.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-p170vbjf0s68a-ssai-prd/2e874342_9a2c_48e9_9066_7ab3a3284a80/hls/playlist.m3u8
阿里郎阿里郎,http://amdlive-ch01,ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
KBS 1,https://tv.iill.top/kbs/11&p=0
KBS 2,https://tv.iill.top/kbs/12&p=0
BBS 불교 방송,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist.m3u8
CJ OnStyle,https://live-ch1.cjonstyle.net/cjmalllive/stream2/playlist.m3u8
CJ OnStyle Plus,https://live-ch2.cjonstyle.net/cjosplus/live2/playlist.m3u8
EBS+ 1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
EBS+ 2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
EBS 1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8?zshijd
EBS 2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?zshijd
EBS 키즈,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
GS Shop,https://gstv-gsshop.gsshop.com/gsshop_hd/gsshop_hd.stream/playlist.m3u8
国乐电视台,http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
KBS电视剧,http://mytv.dothome.co.kr/ch/catv/2.php
KBS Joy,http://mytv.dothome.co.kr/ch/catv/3.php
KBS Kids,http://mytv.dothome.co.kr/ch/catv/6.php
KBS LIFE,http://mytv.dothome.co.kr/ch/catv/5.php
KBS LiveCam DokDo,http://kbs-dokdo.gscdn.com/dokdo_300/dokdo_300.stream/playlist.m3u8
KBS Story,http://mytv.dothome.co.kr/ch/catv/4.php
韩国电视台,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
MBC,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
NBS,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
SBS,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
TBS首尔,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
국방国防电视台,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
TV조선,http://onair.cdn.tvchosun.com/origin1/_definst_/tvchosun_s1/playlist.m3u8
TV조선 2,http://onair2.cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/playlist.m3u8
韩国电视台,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
MBC综艺频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
NBS农业广播,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
SBS清州放送,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
TBS首尔,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
MBC,http://mytv.dothome.co.kr/ch/public/5.php
MBC-목포,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC-춘천,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
MBC-대구,https://5ee1ec6f32118.streamlock.net/live/livetv/playlist.m3u8
MBC-제주,https://wowza.jejumbc.com/live/tv_jejumbc/playlist.m3u8
MBC-여수,https://5c3639aa99149.streamlock.net/live_TV/tv/playlist.m3u8
港澳,#genre#
翡翠台,http://o12.veryfast.filegear-sg.me/hls/fct/playlist.m3u8
翡翠台广电,http://cdn6.veryfast.filegear-sg.me/live/fct/stream.m3u8
翡翠台4K,http://cdn6.veryfast.filegear-sg.me/live/fct4k/stream.m3u8
无线新闻台,http://cdn6.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
无线新闻台,http://v2h.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
TVB PLUS,http://cdn6.veryfast.filegear-sg.me/live/tvbp/stream.m3u8
明珠台,http://o12.veryfast.filegear-sg.me/hls/mzt/playlist.m3u8
明珠台,http://cdn6.veryfast.filegear-sg.me/live/mzt/stream.m3u8
HOY 77,http://cdn6.veryfast.filegear-sg.me/live/hoy/stream.m3u8
HOY 77,http://cdn.veryfast.filegear-sg.me/live/hoy/stream.m3u8
HOY 78,https://tvbjack.946985.filegear-sg.me/ch78/jcakch78.m3u8
HOY剧集台,http://cdn.veryfast.filegear-sg.me/live/hoyjj/stream.m3u8
ViuTV,http://cdn.veryfast.filegear-sg.me/live/viu/stream.m3u8
NOW新闻台,http://cdn.veryfast.filegear-sg.me/live/now/stream.m3u8
RTHK31,http://cdn.veryfast.filegear-sg.me/live/rthk31/stream.m3u8
RTHK32,http://cdn.veryfast.filegear-sg.me/live/rthk32/stream.m3u8
澳视澳门,http://cdn6.veryfast.filegear-sg.me/live/asam/stream.m3u8
澳视卫星,http://cdn6.veryfast.filegear-sg.me/live/as/stream.m3u8
澳门体育,http://cdn6.veryfast.filegear-sg.me/live/amty/stream.m3u8
澳门综艺,http://cdn6.veryfast.filegear-sg.me/live/amzy/stream.m3u8
澳门莲花,http://cdn6.veryfast.filegear-sg.me/live/amlh/stream.m3u8
广东珠江,http://cdn2.veryfast.filegear-sg.me/live/gdzj/stream.m3u8
广东体育,http://cdn2.veryfast.filegear-sg.me/live/gdty/stream.m3u8
CCTV1,http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8
CCTV13,http://cdn3.veryfast.filegear-sg.me/live/cctv13/stream.m3u8
海峡卫视,http://cdn3.veryfast.filegear-sg.me/live/hxws/stream.m3u8
五星体育,http://cdn3.veryfast.filegear-sg.me/live/wxty/stream.m3u8
第一财经,http://cdn3.veryfast.filegear-sg.me/live/dycj/stream.m3u8
凤凰资讯,http://cdn6.veryfast.filegear-sg.me/live/fhzx/stream.m3u8
凤凰中文,http://cdn6.veryfast.filegear-sg.me/live/fhzw/stream.m3u8
凤凰香港,http://cdn6.veryfast.filegear-sg.me/live/fhhk/stream.m3u
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华卡通,http://cdn8.163189.xyz/163189/lhkt
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华洋片,http://cdn8.veryfast.filegear-sg.me/163189/lhyp
TVB1,http://cdn6.veryfast.filegear-sg.me/live/tvb1/stream.m3u8
TVBJ1,http://cdn6.veryfast.filegear-sg.me/live/j1/stream.m3u8
重温经典,http://cdn6.veryfast.filegear-sg.me/live/cwjd/stream.m3u8
翡翠剧集台,http://cdn6.veryfast.filegear-sg.me/live/tvbd/stream.m3u8
华丽翡翠台,http://v2h.veryfast.filegear-sg.me/live/hlfct/stream.m3u8
TVB亚洲武侠,http://v2h.veryfast.filegear-sg.me/live/yzwx/stream.m3u8
TVB星河,http://cdn9.veryfast.filegear-sg.me/live/xinghe/stream.m3u8
TVB星河,http://v2h.veryfast.filegear-sg.me/live/tvbxh/stream.m3u8
TVB娱乐新闻台,http://v2h.veryfast.filegear-sg.me/live/ylxw/stream.m3u8
华丽翡翠台,http://cdn9.veryfast.filegear-sg.me/live/jade/stream.m3u8
天映频道,http://cdn9.veryfast.filegear-sg.me/live/typd/stream.m3u8
天映经典,http://cdn9.veryfast.filegear-sg.me/live/ccm/stream.m3u8
八度空间,http://cdn6.veryfast.filegear-sg.me/live/8tv/stream.m3u8
CH5,http://cdn6.veryfast.filegear-sg.me/live/ch5/stream.m3u8
CH8,http://cdn6.veryfast.filegear-sg.me/live/ch8/stream.m3u8
CHU,http://cdn6.veryfast.filegear-sg.me/live/chu/stream.m3u8
翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=jade_twn
翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=jade_xue
无线新闻台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
明珠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=pearl_twn
TVB PLUS_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=j2_twn
ViuTV_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
ViuTVSix_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=viusix_twn
HOY资讯台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=hoycaijing_twn
TVB星河_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Xinhe
华丽翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbjade
千禧经典台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbclassic
TVB娱乐新闻台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbentertainment
天映频道_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial
天映经典_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial2
爱奇艺_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Qiyi
八度空间_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=TV8
Astro欢喜台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Huahee
Astro AOD_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Aodhd
Astro AEC_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=AEC
Astro QJ_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Quanjia


4gtv頻道,#genre#

TVBS新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=TVBS%E6%96%B0%E8%81%9E
東森新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9E%E5%8F%B0
東森財經台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E%E5%8F%B0
民視新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E6%96%B0%E8%81%9E%E5%8F%B0
三立財經台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9EiNEWS
中天新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E5%A4%A9%E6%96%B0%E8%81%9E%E5%8F%B0
華視新聞,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%8F%AF%E8%A6%96%E6%96%B0%E8%81%9E
中視新聞,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E8%A6%96%E6%96%B0%E8%81%9E
寰宇新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E5%8F%B0
寰宇台灣台,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E5%8F%B0%E7%81%A3%E5%8F%B0
鏡新聞台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%8F%A1%E9%9B%BB%E8%A6%96%E6%96%B0%E8%81%9E%E5%8F%B0

華視,https://4gtv.tzh911.qzz.io/playlist?channel=%E8%8F%AF%E8%A6%96
中視,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%B8%AD%E8%A6%96
民視,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96

靖天日本台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E6%97%A5%E6%9C%AC%E5%8F%B0
靖天育樂台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E8%82%B2%E6%A8%82%E5%8F%B0
靖天映畫台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E6%98%A0%E7%95%AB
靖天國際台,https://4gtv.tzh911.qzz.io/playlist?channel=KLT-%E9%9D%96%E5%A4%A9%E5%9C%8B%E9%9A%9B%E5%8F%B0
靖天資訊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E8%B3%87%E8%A8%8A%E5%8F%B0
靖天電影台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E9%9B%BB%E5%BD%B1%E5%8F%B0
靖天綜合台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E7%B6%9C%E5%90%88%E5%8F%B0
靖天戲劇台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E6%88%B2%E5%8A%87%E5%8F%B0
靖天歡樂台,https://4gtv.tzh911.qzz.io/playlist?channel=Nice%20TV%20%E9%9D%96%E5%A4%A9%E6%AD%A1%E6%A8%82%E5%8F%B0
靖洋戲劇台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E6%B4%8B%E6%88%B2%E5%8A%87%E5%8F%B0
靖天卡通台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E5%A4%A9%E5%8D%A1%E9%80%9A%E5%8F%B0
靖洋卡通台,https://4gtv.tzh911.qzz.io/playlist?channel=%E9%9D%96%E6%B4%8B%E5%8D%A1%E9%80%9ANice%20Bingo

Love Nature,https://4gtv.tzh911.qzz.io/playlist?channel=Love%20Nature
Pet Club TV,https://4gtv.tzh911.qzz.io/playlist?channel=Pet%20Club%20TV
民視旅遊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%B0%91%E8%A6%96%E6%97%85%E9%81%8A%E5%8F%B0
亞洲旅遊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E4%BA%9E%E6%B4%B2%E6%97%85%E9%81%8A%E5%8F%B0
愛爾達生活旅遊台,https://4gtv.tzh911.qzz.io/playlist?channel=%E6%84%9B%E7%88%BE%E9%81%94%E7%94%9F%E6%B4%BB%E6%97%85%E9%81%8A%E5%8F%B0
尼克兒童頻道,https://4gtv.tzh911.qzz.io/playlist?channel=%E5%B0%BC%E5%85%8B%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93
Nick Jr. 兒童頻道,https://4gtv.tzh911.qzz.io/playlist?channel=Nick%20Jr.%20%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93

amc電影台,https://4gtv.tzh911.qzz.io/playlist?channel=amc%E9%9B%BB%E5%BD%B1%E5%8F%B0
CinemaWorld,https://4gtv.tzh911.qzz.io/playlist?channel=CinemaWorld
